Locator,Sampledate,Depth,Updown,CastNotes,Chlorophyll,Chlorophyll_Qual,Density,Density_Qual,DO,DO_Qual,SigmaTheta,SigmaTheta_Qual,Light_Transmission,Light_Qual,PAR,PAR_Qual,Surface_PAR,Surface_PAR_Qual,Salinity,Salinity_Qual,Temperature,Temperature_Qual,Turbidity,Turbidity_Qual,NO23,NO23_Qual,Date,Year,Month,Day,YearDay,Bin,BinDepth,Density_mean,Density_sd,Density_n,DO_mean,DO_sd,DO_n,SigmaTheta_mean,SigmaTheta_sd,SigmaTheta_n,Salinity_mean,Salinity_sd,Salinity_n,Temperature_mean,Temperature_sd,Temperature_n,Chlorophyll_mean,Chlorophyll_sd,Chlorophyll_n,Light_Transmission_mean,Light_Transmission_sd,Light_Transmission_n,PAR_mean,PAR_sd,PAR_n,Surface_PAR_mean,Surface_PAR_sd,Surface_PAR_n,Turbidity_mean,Turbidity_sd,Turbidity_n,NO23_mean,NO23_sd,NO23_n,Depth_Qual_Auto,Chlorophyll_Qual_Auto,Density_Qual_Auto,DO_Qual_Auto,SigmaTheta_Qual_Auto,Light_Transmission_Qual_Auto,PAR_Qual_Auto,Surface_PAR_Qual_Auto,Salinity_Qual_Auto,Temperature_Qual_Auto,Turbidity_Qual_Auto,NO23_Qual_Auto,flag_reason
KSBP01,1998-10-20T09:44:00Z,0.5,Down,SJ marked DO data as questionable,-1.56,E,1021.59,rej,9.002,rej,21.5882,rej,NA,NA,534.68,rej,NA,NA,28.6595,rej,12.455,rej,0,rej,NA,NA,1998-10-20,1998,10,20,293,"(0,0.5]",0.25,1022.537,0.521307970397569,12,7.0965,0.9056520671133401,12,21.22735,4.217464574297518,12,29.8159,0.7473994603512472,12,12.16175,0.7143464962234128,12,1.5366666666666666,0.5329477773040557,12,63.38,37.50363271293418,12,434.5125,300.22203471688323,12,357.1454545454545,271.06131174933967,12,0.955,0.8727460766372509,12,NA,NA,12,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,1998-10-20T09:44:00Z,1,Down,SJ marked DO data as questionable,-1.56,E,1022.529,rej,9.422,rej,22.5243,rej,NA,NA,528.76,rej,NA,NA,29.8696,rej,12.457,rej,0.03,rej,NA,NA,1998-10-20,1998,10,20,293,"(0.5,1]",0.75,1022.7415652173913,0.33511189801276614,32,6.7991,0.6070488491572632,32,22.277084375,2.4623956927781734,32,30.141465217391303,0.45520570036442726,32,12.435478260869566,0.5142376413475156,32,2.602,3.789050151770438,32,77.91041666666666,23.162466730385862,32,465.2303125,1006.836420254806,32,331.2161290322581,279.2512501873229,32,0.495,0.7015900308788399,32,0.30461,0.02371565118463145,32,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,1998-10-20T09:45:00Z,1.5,Down,SJ marked DO data as questionable,-0.87,rej,1022.78,rej,7.615,rej,22.773,rej,NA,NA,512.28,rej,NA,NA,30.1908,rej,12.457,rej,0.04,rej,NA,NA,1998-10-20,1998,10,20,293,"(1,1.5]",1.25,1022.6704615384615,0.39978164080392387,45,6.760542857142857,0.6189101114462586,45,22.683055555555555,0.39158912984933797,45,30.031179487179486,0.567685067055339,45,12.369128205128206,0.5582481140273694,45,2.786842105263158,3.905980933834231,45,85.8835135135135,5.64003408983798,45,236.59555555555556,290.83356746799643,45,354.5261904761905,375.40235134438046,45,0.50125,0.6536586592841426,45,0.30845,0.029817644492429705,45,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,1998-12-14T13:44:00Z,0.5,Down,SJ marked DO as questionable,-1.53,E,1020.721,rej,9.934,rej,20.7186,rej,NA,NA,272.49,rej,310.9,rej,26.9757,rej,9.844,rej,0.49,rej,NA,NA,1998-12-14,1998,12,14,348,"(0,0.5]",0.25,1022.188,0.860851903639638,13,7.636,0.30952867395444994,13,21.79722307692308,1.3944526071508285,13,28.768449999999998,1.123311279209819,13,9.386,0.11653611743432413,13,0.88,0.2487971060924945,13,61.63666666666667,31.9945080703965,13,151.12692307692308,143.18301111890656,13,131.79166666666666,130.02991584689855,13,2.7885714285714287,4.929034484803383,13,NA,NA,13,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,1999-02-03T11:59:00Z,0.5,Down,SJ marked DO as questionable,-0.01,E,1021.526,rej,8.907,rej,21.5234,rej,NA,NA,284.67,rej,266.1,rej,27.791,rej,8.693,rej,1.16,rej,NA,NA,1999-02-03,1999,2,3,34,"(0,0.5]",0.25,1021.441,1.0055826669150418,14,8.958,0.5558515989002825,14,20.755442857142857,2.6482949680921077,14,27.55406,1.2858756736170096,14,7.947,0.48027075696944127,14,7.193333333333333,9.566610336651815,14,38.76714285714286,31.883446443928506,14,343.69428571428574,328.71211137534186,14,268.8285714285714,213.9005715408318,14,0.9516666666666667,1.0107901199886486,14,NA,NA,14,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,1999-03-16T13:51:00Z,0.5,Down,SJ marked DO as questionable,-0.8,E,1021.145,NA,8.275,rej,21.1425,NA,NA,NA,1520.9,NA,1334.8,NA,27.2864,NA,8.596,NA,0.43,NA,NA,NA,1999-03-16,1999,3,16,75,"(0,0.5]",0.25,1021.1391428571428,1.0810540271067963,12,8.912,NA,12,20.431433333333334,4.328976964875679,12,27.259814285714285,1.309479246912771,12,8.473714285714285,0.7815799627007066,12,1.32,NA,12,44.266,30.666942788611976,12,751.2575,467.1894069885069,12,496.275,450.37009654686926,12,0.33999999999999997,0.5183435154412563,12,NA,NA,12,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,1999-04-21T12:37:00Z,0.5,Down,SJ marked DO as questionable; PAR Rejected; double cast,-1.12,E,1021.97,NA,7.801,rej,21.9681,NA,NA,NA,NA,"R,TA",1440.3,NA,28.422,NA,9.031,NA,0.04,NA,NA,NA,1999-04-21,1999,4,21,111,"(0,0.5]",0.25,1021.0975714285714,1.3443581934815187,12,11.192,3.0583918977135682,12,19.92941666666667,4.655873748841512,12,27.46832857142857,1.636234705774496,12,9.857714285714286,1.1797018993917792,12,3.105,2.9627774131716342,12,44.798,34.475734509941915,12,1173.596,795.289122132462,12,796.28,475.1758196242266,12,0.5357142857142857,0.8501148381808413,12,NA,NA,12,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,1999-04-21T13:20:00Z,0.5,Down,SJ marked DO as questionable; PAR Rejected; double cast,-1.13,"E, Rej",1021.854,Rej,7.968,Rej,21.8517,Rej,NA,NA,NA,"R,TA",1445.3,Rej,28.2977,Rej,9.162,Rej,0.22,Rej,NA,NA,1999-04-21,1999,4,21,111,"(0,0.5]",0.25,1021.0975714285714,1.3443581934815187,12,11.192,3.0583918977135682,12,19.92941666666667,4.655873748841512,12,27.46832857142857,1.636234705774496,12,9.857714285714286,1.1797018993917792,12,3.105,2.9627774131716342,12,44.798,34.475734509941915,12,1173.596,795.289122132462,12,796.28,475.1758196242266,12,0.5357142857142857,0.8501148381808413,12,NA,NA,12,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,1999-06-21T13:50:00Z,0.5,Down,NA,-0.82,E,1019.343,rej,9.956,rej,19.3411,rej,NA,NA,344.08,rej,NA,NA,25.9282,rej,13.196,rej,2.08,rej,NA,NA,1999-06-21,1999,6,21,172,"(0,0.5]",0.25,1018.9792,3.413836800434369,11,9.475999999999999,0.2531442276647831,11,17.20161818181818,4.939451272321286,11,25.4664,4.615629554567827,11,13.164,1.6718914438443664,11,NA,NA,11,25.252499999999998,43.833052502268956,11,1270.871818181818,1029.1528202246561,11,824.84,368.27778827039424,11,0.6433333333333333,0.8271557692881473,11,NA,NA,11,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,1999-07-26T14:09:00Z,0.5,Down,NA,-1.38,E,1019.425,rej,8.501,rej,19.4231,rej,NA,NA,1788.6,rej,1663.2,rej,26.4349,rej,14.789,rej,0.01,rej,NA,NA,1999-07-26,1999,7,26,207,"(0,0.5]",0.25,1021.0827142857142,1.144242211288861,16,8.6045,0.7898382745853743,16,16.68563125,6.214670178507062,16,28.48372857142857,1.3665391111786565,16,14.374857142857143,0.8951051015702811,16,1.88,0.5232590180780452,16,24.1925,25.34998887010181,16,1831.825,930.7631469355312,16,1190.9357142857143,433.66485572145695,16,0.47875,0.9410091467598571,16,NA,NA,16,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
